Ticker,PnL%,Reason,Hold,EntryDate,ExitDate
ADANIPOWER.NS,22.26,Target +20%,7,2021-03-16,2021-03-23
ATGL.NS,22.56,Target +20%,8,2021-03-16,2021-03-24
DBREALTY.NS,-8.3,Tight Trail -8%,9,2021-03-16,2021-03-25
GICRE.NS,-9.41,Tight Trail -8%,9,2021-03-16,2021-03-25
IEX.NS,-2.02,Tight Trail -8%,9,2021-03-16,2021-03-25
LINDEINDIA.NS,-3.65,Tight Trail -8%,49,2021-03-16,2021-05-04
JSWENERGY.NS,20.45,Target +20%,22,2021-04-19,2021-05-11
GUJGASLTD.NS,-3.34,Tight Trail -8%,57,2021-03-16,2021-05-12
ATGL.NS,4.31,Tight Trail -8%,25,2021-04-19,2021-05-14
CDSL.NS,21.0,Target +20%,28,2021-04-19,2021-05-17
IEX.NS,2.5,Tight Trail -8%,31,2021-04-19,2021-05-20
GICRE.NS,-6.52,Tight Trail -8%,38,2021-04-19,2021-05-27
RPOWER.NS,24.64,Target +20%,7,2021-05-20,2021-05-27
ADANIPOWER.NS,5.15,Tight Trail -8%,39,2021-04-19,2021-05-28
ATGL.NS,21.31,Target +20%,14,2021-05-20,2021-06-03
ANGELONE.NS,28.97,Target +20%,18,2021-05-20,2021-06-07
JSWENERGY.NS,22.32,Target +20%,19,2021-05-20,2021-06-08
ALKYLAMINE.NS,-1.14,Tight Trail -8%,29,2021-05-20,2021-06-18
RPOWER.NS,-0.32,Tight Trail -8%,6,2021-06-18,2021-06-24
JPPOWER.NS,-0.85,Tight Trail -8%,6,2021-06-18,2021-06-24
FLUOROCHEM.NS,-9.36,Tight Trail -8%,11,2021-06-18,2021-06-29
ADANIPOWER.NS,1.22,Tight Trail -8%,11,2021-06-18,2021-06-29
HSCL.NS,-3.29,Tight Trail -8%,13,2021-06-18,2021-07-01
CDSL.NS,21.05,Target +20%,50,2021-05-20,2021-07-09
ANGELONE.NS,20.52,Target +20%,21,2021-06-18,2021-07-09
JSWENERGY.NS,22.86,Target +20%,28,2021-06-18,2021-07-16
JPPOWER.NS,-9.02,Tight Trail -8%,3,2021-07-19,2021-07-22
RPOWER.NS,-11.61,Tight Trail -8%,4,2021-07-19,2021-07-23
CDSL.NS,-11.84,Tight Trail -8%,4,2021-07-19,2021-07-23
JSWENERGY.NS,22.52,Target +20%,4,2021-07-19,2021-07-23
ALKYLAMINE.NS,25.09,Target +20%,38,2021-06-18,2021-07-26
ANGELONE.NS,-9.05,Tight Trail -8%,7,2021-07-19,2021-07-26
MOTILALOFS.NS,-14.16,Tight Trail -8%,11,2021-07-19,2021-07-30
METROPOLIS.NS,1.09,Tight Trail -8%,52,2021-06-18,2021-08-09
FLUOROCHEM.NS,5.39,Tight Trail -8%,22,2021-07-19,2021-08-10
ABREL.NS,3.34,Tight Trail -8%,35,2021-07-19,2021-08-23
JSWENERGY.NS,-8.22,Tight Trail -8%,5,2021-08-18,2021-08-23
JUBLINGREA.NS,-9.16,Tight Trail -8%,5,2021-08-18,2021-08-23
ANGELONE.NS,-10.36,Tight Trail -8%,5,2021-08-18,2021-08-23
ICICIPRULI.NS,20.3,Target +20%,77,2021-06-18,2021-09-03
GSPL.NS,-9.66,Tight Trail -8%,29,2021-08-18,2021-09-16
GUJGASLTD.NS,-8.32,Tight Trail -8%,30,2021-08-18,2021-09-17
CDSL.NS,5.71,Tight Trail -8%,35,2021-08-18,2021-09-22
LALPATHLAB.NS,-5.18,Tight Trail -8%,40,2021-08-18,2021-09-27
SOLARINDS.NS,24.84,Target +20%,43,2021-08-18,2021-09-30
LINDEINDIA.NS,1.31,Tight Trail -8%,10,2021-09-20,2021-09-30
FLUOROCHEM.NS,24.32,Target +20%,47,2021-08-18,2021-10-04
AARTIIND.NS,20.65,Target +20%,109,2021-06-18,2021-10-05
SOBHA.NS,26.48,Target +20%,17,2021-09-20,2021-10-07
IEX.NS,34.06,Target +20%,21,2021-09-20,2021-10-11
LODHA.NS,21.06,Target +20%,21,2021-09-20,2021-10-11
JSWENERGY.NS,20.56,Target +20%,23,2021-09-20,2021-10-13
ANGELONE.NS,29.93,Target +20%,23,2021-09-20,2021-10-13
ABREL.NS,2.63,Tight Trail -8%,30,2021-09-20,2021-10-20
SOLARINDS.NS,-14.57,Tight Trail -8%,2,2021-10-20,2021-10-22
IEX.NS,-11.46,Tight Trail -8%,5,2021-10-20,2021-10-25
DBREALTY.NS,-5.17,Tight Trail -8%,5,2021-10-20,2021-10-25
JSWENERGY.NS,-7.43,Tight Trail -8%,8,2021-10-20,2021-10-28
INDHOTEL.NS,-9.16,Tight Trail -8%,8,2021-10-20,2021-10-28
GODREJPROP.NS,-3.79,Tight Trail -8%,28,2021-10-20,2021-11-17
TATAPOWER.NS,-1.17,Tight Trail -8%,33,2021-10-20,2021-11-22
LINDEINDIA.NS,-2.38,Tight Trail -8%,33,2021-10-20,2021-11-22
CHALET.NS,3.7,Tight Trail -8%,33,2021-10-20,2021-11-22
BRIGADE.NS,6.63,Tight Trail -8%,33,2021-10-20,2021-11-22
TATAINVEST.NS,-5.88,Tight Trail -8%,37,2021-10-20,2021-11-26
