regime,trend,volume,horizon,n,avg_ret,median_ret,win_rate,avg_winner,avg_loser,payoff_ratio,max_dd,sharpe,sortino,calmar,var_95,cvar_95,worst_trade,best_trade
Mild_Bull,0-20,Spike,60,67,2.28,2.92,53.7,13.57,-10.83,1.25,49.59,0.29,0.45,0.05,-25.61,-31.54,-39.65,43.21
Mild_Bull,0-20,Spike,90,67,7.5,3.57,61.2,18.35,-9.59,1.91,49.59,0.67,1.6,0.15,-21.02,-24.61,-28.85,69.64
Mild_Bull,0-20,Flat,60,418,2.18,0.09,50.5,12.69,-8.52,1.49,48.9,0.31,0.59,0.04,-19.33,-24.47,-42.59,59.21
Mild_Bull,0-20,Flat,90,418,6.16,4.07,57.9,16.46,-8.0,2.06,48.9,0.63,1.71,0.13,-16.25,-20.38,-28.68,69.84
Mild_Bull,0-20,Big_Drop,60,168,-0.65,0.06,50.6,9.79,-11.35,0.86,55.39,-0.09,-0.12,-0.01,-28.86,-35.46,-43.93,85.14
Mild_Bull,0-20,Big_Drop,90,168,3.33,2.05,56.0,14.23,-10.52,1.35,55.39,0.34,0.66,0.06,-20.12,-27.32,-36.04,87.68
Mild_Bull,0-20,Drop,60,157,0.65,0.33,52.2,10.75,-10.4,1.03,55.39,0.09,0.16,0.01,-23.24,-28.68,-34.27,54.14
Mild_Bull,0-20,Drop,90,157,4.73,3.82,59.2,14.63,-9.64,1.52,55.39,0.5,1.11,0.09,-18.26,-22.2,-26.2,60.91
Mild_Bull,0-20,Jump,60,92,2.96,2.7,55.4,14.15,-10.95,1.29,51.26,0.36,0.69,0.06,-22.88,-26.42,-30.65,55.81
Mild_Bull,0-20,Jump,90,92,7.85,8.06,62.0,19.77,-11.56,1.71,51.26,0.67,1.82,0.15,-20.52,-22.09,-23.67,68.81
Mild_Bull,40-60,Flat,60,99,-0.81,-2.13,44.4,11.22,-10.44,1.07,51.03,-0.13,-0.24,-0.02,-21.78,-24.86,-28.84,42.5
Mild_Bull,40-60,Flat,90,99,2.02,-3.5,40.4,19.19,-9.63,1.99,51.03,0.18,0.54,0.04,-18.13,-21.13,-27.74,84.21
Mild_Bull,40-60,Big_Drop,60,40,0.25,1.34,60.0,8.76,-12.52,0.7,32.53,0.04,0.05,0.01,-23.41,-28.73,-31.27,33.44
Mild_Bull,40-60,Big_Drop,90,40,2.74,5.42,65.0,11.25,-13.06,0.86,35.02,0.31,0.5,0.08,-21.97,-29.77,-31.8,41.17
Mild_Bull,40-60,Drop,60,33,-6.33,-8.78,33.3,8.54,-13.76,0.62,32.53,-0.99,-1.53,-0.19,-28.53,-29.11,-29.5,18.3
Mild_Bull,40-60,Drop,90,33,-2.21,-2.58,42.4,11.27,-12.13,0.93,35.07,-0.25,-0.46,-0.06,-24.83,-26.22,-26.54,34.64
Strong_Bear,80-100,Spike,60,37,7.0,4.56,67.6,14.41,-8.42,1.71,26.61,0.98,2.31,0.26,-12.04,-19.2,-23.25,39.61
Strong_Bear,80-100,Spike,90,37,11.12,7.73,70.3,19.34,-8.29,2.33,26.61,1.09,3.08,0.42,-14.82,-17.45,-19.94,47.39
Strong_Bear,80-100,Flat,60,238,11.33,9.37,77.3,16.69,-6.94,2.4,45.74,1.33,3.33,0.25,-9.75,-16.0,-41.18,92.22
