alert_id,alert_date,ticker,alert_type,message
106,2026-03-31 11:12:01,SYSTEM,BUY_ALERT,"🟢 *NEW BUY SIGNAL* 🟢\n*SANOFICONR.NS*\nPrice: ₹4,298.20\nRS Score: 14.37"
107,2026-04-01 11:16:57,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*HFCL.NS*\nPrice: ₹72.47\nRS Score: 18.28
108,2026-04-01 11:16:57,SYSTEM,BUY_ALERT,"🟢 *NEW BUY SIGNAL* 🟢\n*BSE.NS*\nPrice: ₹2,867.60\nRS Score: 16.01"
109,2026-04-01 11:16:57,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*ARVIND.NS*\nPrice: ₹350.65\nRS Score: 15.81
110,2026-04-01 11:16:57,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*SAIL.NS*\nPrice: ₹155.82\nRS Score: 15.06
111,2026-04-01 11:16:57,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*PTC.NS*\nPrice: ₹167.32\nRS Score: 14.28
112,2026-04-02 11:10:52,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*PRAJIND.NS*\nPrice: ₹334.10\nRS Score: 15.18
113,2026-04-02 11:10:52,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*WELCORP.NS*\nPrice: ₹846.85\nRS Score: 14.7
114,2026-04-02 11:10:52,SYSTEM,BUY_ALERT,"🟢 *NEW BUY SIGNAL* 🟢\n*ANANDRATHI.NS*\nPrice: ₹3,208.20\nRS Score: 14.55"
115,2026-04-02 11:10:52,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*CARBORUNIV.NS*\nPrice: ₹854.00\nRS Score: 13.8
116,2026-04-02 11:10:52,SYSTEM,BUY_ALERT,"🟢 *NEW BUY SIGNAL* 🟢\n*BAYERCROP.NS*\nPrice: ₹4,759.90\nRS Score: 13.49"
117,2026-04-03 11:04:42,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*GAEL.NS*\nPrice: ₹140.35\nRS Score: 12.85
118,2026-04-03 11:04:42,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*STARHEALTH.NS*\nPrice: ₹469.90\nRS Score: 12.64
119,2026-04-03 11:04:42,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*SYRMA.NS*\nPrice: ₹796.30\nRS Score: 12.53
120,2026-04-03 11:04:42,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*JSWENERGY.NS*\nPrice: ₹491.10\nRS Score: 12.27
121,2026-04-03 11:04:42,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*INNOVACAP.NS*\nPrice: ₹704.40\nRS Score: 12.16
122,2026-04-06 11:13:43,SYSTEM,BUY_ALERT,"🟢 *NEW BUY SIGNAL* 🟢\n*LUXIND.NS*\nPrice: ₹1,081.80\nRS Score: 20.14"
123,2026-04-06 11:13:43,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*ANGELONE.NS*\nPrice: ₹246.05\nRS Score: 16.22
124,2026-04-06 11:13:43,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*SKYGOLD.NS*\nPrice: ₹361.05\nRS Score: 14.87
125,2026-04-06 11:13:43,SYSTEM,BUY_ALERT,"🟢 *NEW BUY SIGNAL* 🟢\n*THANGAMAYL.NS*\nPrice: ₹3,752.90\nRS Score: 14.34"
126,2026-04-06 11:13:43,SYSTEM,BUY_ALERT,"🟢 *NEW BUY SIGNAL* 🟢\n*PAGEIND.NS*\nPrice: ₹34,750.00\nRS Score: 14.15"
127,2026-04-07 11:16:05,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*GALLANTT.NS*\nPrice: ₹642.15\nRS Score: 26.29
128,2026-04-07 11:16:05,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*PNGJL.NS*\nPrice: ₹599.10\nRS Score: 16.26
129,2026-04-07 11:16:05,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*DELHIVERY.NS*\nPrice: ₹442.00\nRS Score: 14.72
130,2026-04-07 11:16:05,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*KSCL.NS*\nPrice: ₹866.65\nRS Score: 14.39
131,2026-04-07 11:16:05,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*VMART.NS*\nPrice: ₹626.95\nRS Score: 14.19
132,2026-04-08 11:18:13,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*LLOYDSENT.NS*\nPrice: ₹58.95\nRS Score: 16.3
133,2026-04-08 11:18:13,SYSTEM,BUY_ALERT,"🟢 *NEW BUY SIGNAL* 🟢\n*KAJARIACER.NS*\nPrice: ₹1,058.95\nRS Score: 15.1"
134,2026-04-08 11:18:13,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*EPL.NS*\nPrice: ₹227.91\nRS Score: 14.87
135,2026-04-08 11:18:13,SYSTEM,BUY_ALERT,"🟢 *NEW BUY SIGNAL* 🟢\n*ADANIGREEN.NS*\nPrice: ₹1,029.65\nRS Score: 14.7"
136,2026-04-08 11:18:13,SYSTEM,BUY_ALERT,"🟢 *NEW BUY SIGNAL* 🟢\n*LUMAXTECH.NS*\nPrice: ₹1,691.70\nRS Score: 13.14"
137,2026-04-09 11:18:43,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*OLAELEC.NS*\nPrice: ₹36.32\nRS Score: 27.32
138,2026-04-09 11:18:43,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*SPARC.NS*\nPrice: ₹146.17\nRS Score: 19.08
139,2026-04-09 11:18:43,SYSTEM,BUY_ALERT,"🟢 *NEW BUY SIGNAL* 🟢\n*AVALON.NS*\nPrice: ₹1,046.55\nRS Score: 18.26"
140,2026-04-09 11:18:43,SYSTEM,BUY_ALERT,🟢 *NEW BUY SIGNAL* 🟢\n*FACT.NS*\nPrice: ₹860.95\nRS Score: 17.55
141,2026-04-09 11:18:43,SYSTEM,BUY_ALERT,"🟢 *NEW BUY SIGNAL* 🟢\n*ZENTEC.NS*\nPrice: ₹1,533.20\nRS Score: 14.68"
142,2026-04-10 11:14:21,SYSTEM,BUY_ALERT,"🟢 *NEW BUY SIGNAL* 🟢\n*SHRIPISTON.NS*\nPrice: ₹3,608.20\nRS Score: 22.55"
143,2026-04-10 11:14:21,SYSTEM,BUY_ALERT,"🟢 *NEW BUY SIGNAL* 🟢\n*OLECTRA.NS*\nPrice: ₹1,184.25\nRS Score: 20.38"
