date,value,mode
2017-10-27,1318755.0536341863,LEAP
2017-10-30,1320517.5579676824,LEAP
2017-10-31,1322200.2635951238,LEAP
2017-11-01,1329799.087295075,LEAP
2017-11-02,1328908.0094447332,LEAP
2017-11-03,1328182.9872889714,LEAP
2017-11-06,1332239.893569489,LEAP
2017-11-07,1326123.8698878484,LEAP
2017-11-08,1331506.1957850652,LEAP
2017-11-09,1333608.7642665105,LEAP
2017-11-10,1334406.4651332097,LEAP
2017-11-13,1332272.1557765203,LEAP
2017-11-14,1327088.5984584051,LEAP
2017-11-15,1319737.8901347355,FROG
2017-11-16,1324969.9477214054,LEAP
2017-11-17,1325887.048368378,LEAP
2017-11-20,1325054.7012614445,LEAP
2017-11-21,1331022.5662516789,LEAP
2017-11-22,1328400.5460185246,LEAP
2017-11-23,1331649.8713969425,LEAP
2017-11-24,1332861.1110820011,LEAP
2017-11-27,1332124.5878581242,LEAP
2017-11-28,1330495.6012858585,LEAP
2017-11-29,1329342.0475444035,LEAP
2017-11-30,1328934.6296366886,LEAP
2017-12-01,1322925.4091777042,FROG
2017-12-04,1324848.2790812687,FROG
2017-12-05,1325144.4887370304,FROG
2017-12-06,1324590.1324137882,FROG
2017-12-07,1329916.2340946966,FROG
2017-12-08,1335620.1729985052,LEAP
2017-12-11,1338290.1022282415,LEAP
2017-12-12,1334100.787378388,LEAP
2017-12-13,1330407.9202519231,FROG
2017-12-14,1327166.4389591985,LEAP
2017-12-15,1325769.1227665716,LEAP
2017-12-18,1332542.7132206731,LEAP
2017-12-19,1333981.5170231634,LEAP
2017-12-20,1336421.906946259,LEAP
2017-12-21,1335432.574121552,LEAP
2017-12-22,1340127.8450871282,LEAP
2017-12-26,1341566.5921879583,LEAP
2017-12-27,1344889.8016606146,LEAP
2017-12-28,1341084.7639103704,LEAP
2017-12-29,1348239.5779362493,LEAP
2018-01-02,1343206.2724552923,LEAP
2018-01-03,1344257.4268132024,LEAP
2018-01-04,1347638.803949433,LEAP
2018-01-05,1348647.760461884,LEAP
2018-01-08,1355600.7084294134,LEAP
2018-01-09,1352420.036951142,LEAP
2018-01-10,1357086.9480229192,LEAP
2018-01-11,1359610.1819706731,LEAP
2018-01-12,1357044.428430634,LEAP
2018-01-15,1355122.9998722845,LEAP
2018-01-16,1360926.5646611028,LEAP
2018-01-17,1365239.4743901067,LEAP
2018-01-18,1364880.6523075872,LEAP
2018-01-19,1364055.927637177,LEAP
2018-01-22,1368878.240717011,LEAP
2018-01-23,1374072.6718693548,LEAP
2018-01-24,1375960.3682804876,LEAP
2018-01-25,1369116.1292828373,LEAP
2018-01-29,1380476.14682663,LEAP
2018-01-30,1374826.1856640629,LEAP
2018-01-31,1352643.01243866,LEAP
2018-02-01,1344084.8502377323,LEAP
2018-02-02,1331804.8815106205,LEAP
2018-02-05,1325884.4531430057,LEAP
2018-02-06,1309393.216264172,FROG
2018-02-07,1308465.6960310177,FROG
2018-02-08,1323288.020509167,LEAP
2018-02-09,1321908.268998547,FROG
2018-02-12,1327586.8097089962,FROG
2018-02-14,1322735.748094006,FROG
2018-02-15,1327159.6100477413,FROG
2018-02-16,1329339.4332136349,FROG
2018-02-19,1321903.7912306027,FROG
2018-02-20,1322728.8983167843,FROG
2018-02-21,1320585.3651150325,FROG
2018-02-22,1321664.1290310482,FROG
2018-02-23,1330236.9967526058,FROG
2018-02-26,1325852.0419949153,FROG
2018-02-27,1326010.128970013,FROG
2018-02-28,1323614.6650773436,FROG
2018-03-01,1322085.0942002684,FROG
2018-03-05,1320361.583519116,FROG
2018-03-06,1312710.681489697,FROG
2018-03-07,1311689.2166764645,FROG
2018-03-08,1309993.4269730954,FROG
2018-03-09,1308746.674331036,FROG
2018-03-12,1313971.0252466397,FROG
2018-03-13,1310876.3573541837,FROG
2018-03-14,1308085.450722714,FROG
2018-03-15,1306220.1361322599,FROG
2018-03-16,1295898.5952725797,FROG
2018-03-19,1292260.8679776578,FROG
2018-03-20,1297424.7719998746,FROG
2018-03-21,1297638.107403317,FROG
2018-03-22,1293957.296139279,FROG
2018-03-23,1291035.3985475735,FROG
2018-03-26,1292113.6666139797,FROG
2018-03-27,1301141.2249941067,FROG
2018-03-28,1300140.1551088528,FROG
2018-04-02,1314390.961871548,FROG
2018-04-03,1314704.7630495266,FROG
2018-04-04,1310388.2601184659,FROG
2018-04-05,1315564.216264706,FROG
2018-04-06,1316972.3353137784,FROG
2018-04-09,1315633.8669299893,FROG
2018-04-10,1315160.8647881895,FROG
2018-04-11,1322392.7708703429,FROG
2018-04-12,1328358.8533746153,FROG
2018-04-13,1328599.0815240294,FROG
2018-04-16,1336562.8603021055,FROG
