Date,Strategy,Equity,Regime,Holdings,Cash,Peak,DD
2022-04-19,QUALITY_DIP,1074041.5508180866,BEAR,4,797201.485479952,1131093.1837186576,-5.043937468794942
2022-04-20,QUALITY_DIP,1074778.6150575886,SIDEWAYS,4,797201.485479952,1131093.1837186576,-4.978773585738135
2022-04-21,QUALITY_DIP,1077942.9903627643,SIDEWAYS,4,797201.485479952,1131093.1837186576,-4.6990110205733115
2022-04-22,QUALITY_DIP,1078191.9670473346,SIDEWAYS,4,797201.485479952,1131093.1837186576,-4.676998980526199
2022-04-25,QUALITY_DIP,1074466.3006044636,SIDEWAYS,4,797201.485479952,1131093.1837186576,-5.006385320794146
2022-04-26,QUALITY_DIP,1078035.6121584186,SIDEWAYS,4,797201.485479952,1131093.1837186576,-4.690822323391901
2022-04-27,QUALITY_DIP,1072141.5985106528,SIDEWAYS,10,318268.04718008626,1131093.1837186576,-5.211912339016281
2022-04-28,QUALITY_DIP,1086018.172058016,SIDEWAYS,10,318268.04718008626,1131093.1837186576,-3.985083838313825
2022-04-29,QUALITY_DIP,1082096.2791441977,SIDEWAYS,10,318268.04718008626,1131093.1837186576,-4.331818569834749
2022-05-02,QUALITY_DIP,1070205.5944823325,SIDEWAYS,10,318268.04718008626,1131093.1837186576,-5.383074543526733
2022-05-04,QUALITY_DIP,1040315.5265869771,SIDEWAYS,8,464304.4886536275,1131093.1837186576,-8.025656810452505
2022-05-05,QUALITY_DIP,1033031.9454697287,BEAR,7,509602.39838110557,1131093.1837186576,-8.66959854947903
2022-05-06,QUALITY_DIP,1024455.9036588155,BEAR,6,597129.7988919698,1131093.1837186576,-9.427806797425319
2022-05-09,QUALITY_DIP,1013494.3161051046,BEAR,5,669925.9851267111,1131093.1837186576,-10.39692125337782
2022-05-10,QUALITY_DIP,1010587.6827306998,BEAR,4,726043.9815588248,1131093.1837186576,-10.653896842678856
2022-05-11,QUALITY_DIP,1005641.1910925162,BEAR,3,788456.3160925162,1131093.1837186576,-11.091216394187528
2022-05-12,QUALITY_DIP,997178.8482695783,BEAR,10,346097.3559476102,1131093.1837186576,-11.839372509417267
2022-05-13,QUALITY_DIP,996259.2254105771,BEAR,10,346097.3559476102,1131093.1837186576,-11.920676408356675
2022-05-16,QUALITY_DIP,1011585.2474131787,BEAR,7,522183.1026196683,1131093.1837186576,-10.565702103568217
2022-05-17,QUALITY_DIP,1034811.1685911668,BEAR,6,630910.1573454393,1131093.1837186576,-8.51229735210211
2022-05-18,QUALITY_DIP,1039304.3182651628,BEAR,4,799954.4157154191,1131093.1837186576,-8.115057784339538
2022-05-19,QUALITY_DIP,1034050.5473911393,BEAR,4,799954.4157154191,1131093.1837186576,-8.579543907114214
2022-05-20,QUALITY_DIP,1040444.8554966081,BEAR,4,799954.4157154191,1131093.1837186576,-8.014222835648962
2022-05-23,QUALITY_DIP,1039865.3390628922,BEAR,4,799954.4157154191,1131093.1837186576,-8.065457910005131
2022-05-24,QUALITY_DIP,1036068.2426273454,BEAR,4,799954.4157154191,1131093.1837186576,-8.401159379185883
2022-05-25,QUALITY_DIP,1037062.9378482926,BEAR,4,799954.4157154191,1131093.1837186576,-8.313218329300229
2022-05-26,QUALITY_DIP,1041441.3681171908,BEAR,10,348250.51158795494,1131093.1837186576,-7.926121109378584
2022-05-27,QUALITY_DIP,1050272.1511524692,BEAR,10,348250.51158795494,1131093.1837186576,-7.145391178158792
2022-05-30,QUALITY_DIP,1064540.996481754,SIDEWAYS,10,348250.51158795494,1131093.1837186576,-5.883881911311876
2022-05-31,QUALITY_DIP,1080495.695891391,BEAR,7,599724.6702184785,1131093.1837186576,-4.47332620827215
2022-06-01,QUALITY_DIP,1077939.9969177735,BEAR,6,654344.383972217,1131093.1837186576,-4.699275671181583
2022-06-02,QUALITY_DIP,1084172.4283142579,BEAR,6,654344.383972217,1131093.1837186576,-4.1482661269463135
2022-06-03,QUALITY_DIP,1089211.8027057375,BEAR,5,725612.670579883,1131093.1837186576,-3.702734806979212
2022-06-06,QUALITY_DIP,1084011.110475513,BEAR,5,725612.670579883,1131093.1837186576,-4.16252824443292
2022-06-07,QUALITY_DIP,1082724.1965808596,BEAR,5,725612.670579883,1131093.1837186576,-4.2763043605989095
2022-06-08,QUALITY_DIP,1087290.885927173,BEAR,5,725612.670579883,1131093.1837186576,-3.8725631470501085
2022-06-09,QUALITY_DIP,1081454.0626676288,BEAR,10,291268.7105024066,1131093.1837186576,-4.388596957841435
2022-06-10,QUALITY_DIP,1072543.0632520404,BEAR,9,413058.73038155696,1131093.1837186576,-5.176418822905808
2022-06-13,QUALITY_DIP,1050596.9350305286,BEAR,8,484168.7872873034,1131093.1837186576,-7.116677020675182
2022-06-14,QUALITY_DIP,1050166.387621471,BEAR,8,484168.7872873034,1131093.1837186576,-7.1547417367618005
2022-06-15,QUALITY_DIP,1048502.3154779163,BEAR,8,484168.7872873034,1131093.1837186576,-7.301862430928109
2022-06-16,QUALITY_DIP,1030982.8145977131,BEAR,5,722129.2171245685,1131093.1837186576,-8.850762303404126
2022-06-17,QUALITY_DIP,1025475.1595684162,BEAR,5,722129.2171245685,1131093.1837186576,-9.337694335934774
2022-06-20,QUALITY_DIP,1022613.6337371174,BEAR,4,773796.3316741291,1131093.1837186576,-9.590681965290921
2022-06-21,QUALITY_DIP,1030336.160745174,BEAR,4,773796.3316741291,1131093.1837186576,-8.907933000022865
2022-06-22,QUALITY_DIP,1024266.8333220783,BEAR,4,773796.3316741291,1131093.1837186576,-9.44452251452615
2022-06-23,QUALITY_DIP,1027925.0687485614,BEAR,10,306288.5096054951,1131093.1837186576,-9.121097753494876
2022-06-24,QUALITY_DIP,1041069.759353725,BEAR,10,306288.5096054951,1131093.1837186576,-7.958975057118243
2022-06-27,QUALITY_DIP,1050603.0756150165,BEAR,10,306288.5096054951,1131093.1837186576,-7.116134131320323
2022-06-28,QUALITY_DIP,1047796.2381745258,BEAR,10,306288.5096054951,1131093.1837186576,-7.364286757548939
2022-06-29,QUALITY_DIP,1043823.2042728534,BEAR,9,361440.50902138866,1131093.1837186576,-7.715542866140305
2022-06-30,QUALITY_DIP,1046501.7414280048,BEAR,9,361440.50902138866,1131093.1837186576,-7.478733273994659
2022-07-01,QUALITY_DIP,1043465.4821964374,BEAR,9,361440.50902138866,1131093.1837186576,-7.747169091244054
2022-07-04,QUALITY_DIP,1049692.4263547626,BEAR,8,482950.0123838154,1131093.1837186576,-7.196644673984895
2022-07-05,QUALITY_DIP,1054450.9778836933,BEAR,8,482950.0123838154,1131093.1837186576,-6.775940916113582
2022-07-06,QUALITY_DIP,1054047.6267673604,BEAR,7,548682.0230381123,1131093.1837186576,-6.811601206719069
2022-07-07,QUALITY_DIP,1058596.2933228414,SIDEWAYS,9,305247.15449837846,1131093.1837186576,-6.409453388930393
2022-07-08,QUALITY_DIP,1067216.5517914693,SIDEWAYS,9,305247.15449837846,1131093.1837186576,-5.647335944257321
2022-07-11,QUALITY_DIP,1083598.912289516,SIDEWAYS,8,426044.3885926168,1131093.1837186576,-4.1989707048712095
2022-07-12,QUALITY_DIP,1079504.7894104877,BEAR,8,426044.3885926168,1131093.1837186576,-4.560932295477582
2022-07-13,QUALITY_DIP,1076795.5053070942,BEAR,8,426044.3885926168,1131093.1837186576,-4.8004602267207295
2022-07-14,QUALITY_DIP,1080575.284619228,BEAR,8,426044.3885926168,1131093.1837186576,-4.466289765211349
2022-07-15,QUALITY_DIP,1078613.039029018,SIDEWAYS,8,426044.3885926168,1131093.1837186576,-4.63977198740623
2022-07-18,QUALITY_DIP,1085438.2404602924,SIDEWAYS,8,426044.3885926168,1131093.1837186576,-4.036355617338875
2022-07-19,QUALITY_DIP,1093250.1087453573,SIDEWAYS,7,502358.70556237386,1131093.1837186576,-3.3457079856926475
2022-07-20,QUALITY_DIP,1098624.944850704,SIDEWAYS,7,502358.70556237386,1131093.1837186576,-2.8705184802908015
2022-07-21,QUALITY_DIP,1105551.3935006063,SIDEWAYS,6,591312.5232308309,1131093.1837186576,-2.2581508390032368
2022-07-22,QUALITY_DIP,1102340.0963204305,SIDEWAYS,6,591312.5232308309,1131093.1837186576,-2.5420617692785044
2022-07-25,QUALITY_DIP,1104294.8178933065,SIDEWAYS,6,591312.5232308309,1131093.1837186576,-2.369244745799546
2022-07-26,QUALITY_DIP,1099764.1135170858,SIDEWAYS,6,591312.5232308309,1131093.1837186576,-2.7698045264999522
2022-07-27,QUALITY_DIP,1109601.3963173786,SIDEWAYS,5,696674.2307442586,1131093.1837186576,-1.9000899051147255
2022-07-28,QUALITY_DIP,1121677.6719146078,SIDEWAYS,4,830668.1322875326,1131093.1837186576,-0.8324258283561367
2022-07-29,QUALITY_DIP,1122550.7332091634,MILD_BULL,4,830668.1322875326,1131093.1837186576,-0.7552384394546026
2022-08-01,QUALITY_DIP,1125959.328374111,MILD_BULL,3,887432.0875446432,1131093.1837186576,-0.4538843853402146
2022-08-02,QUALITY_DIP,1126938.43196603,MILD_BULL,3,887432.0875446432,1131093.1837186576,-0.3673217920886154
2022-08-03,QUALITY_DIP,1125396.6920063132,MILD_BULL,3,887432.0875446432,1131093.1837186576,-0.5036270922981056
2022-08-04,QUALITY_DIP,1124745.8186724202,MILD_BULL,5,678662.5867235677,1131093.1837186576,-0.561170833455944
2022-08-05,QUALITY_DIP,1127019.3017046468,MILD_BULL,5,678662.5867235677,1131093.1837186576,-0.36017209480630347
2022-08-08,QUALITY_DIP,1122652.485283138,MILD_BULL,5,678662.5867235677,1131093.1837186576,-0.7462425339501547
2022-08-10,QUALITY_DIP,1127268.1896441,MILD_BULL,5,678662.5867235677,1131093.1837186576,-0.33816790071905206
2022-08-11,QUALITY_DIP,1126524.7753374593,MILD_BULL,5,678662.5867235677,1131093.1837186576,-0.4038931935014315
2022-08-12,QUALITY_DIP,1132446.1844103353,MILD_BULL,5,678662.5867235677,1132446.1844103353,0.0
2022-08-16,QUALITY_DIP,1128485.6979143636,MILD_BULL,5,678662.5867235677,1132446.1844103353,-0.3497284507196168
2022-08-17,QUALITY_DIP,1133890.376198055,MILD_BULL,5,678662.5867235677,1133890.376198055,0.0
2022-08-18,QUALITY_DIP,1132182.6922900502,MILD_BULL,4,783110.9857623402,1133890.376198055,-0.15060396876553972
2022-08-19,QUALITY_DIP,1124003.4608752553,MILD_BULL,4,783110.9857623402,1133890.376198055,-0.8719463124778094
2022-08-22,QUALITY_DIP,1117354.8752377431,MILD_BULL,10,311440.19394807034,1133890.376198055,-1.4582980248721698
2022-08-23,QUALITY_DIP,1127654.2891934316,MILD_BULL,10,311440.19394807034,1133890.376198055,-0.5499726548110438
2022-08-24,QUALITY_DIP,1130667.149407665,MILD_BULL,10,311440.19394807034,1133890.376198055,-0.28426264637658244
2022-08-25,QUALITY_DIP,1126342.8828518789,MILD_BULL,10,311440.19394807034,1133890.376198055,-0.6656281334252898
2022-08-26,QUALITY_DIP,1129144.9605801504,MILD_BULL,10,311440.19394807034,1133890.376198055,-0.4185074428284724
2022-08-29,QUALITY_DIP,1133137.239983837,MILD_BULL,10,311440.19394807034,1133890.376198055,-0.06642054911369608
2022-08-30,QUALITY_DIP,1146069.8019116323,MILD_BULL,9,378794.6781170767,1146069.8019116323,0.0
2022-09-01,QUALITY_DIP,1139052.8602765005,MILD_BULL,9,378794.6781170767,1146069.8019116323,-0.6122612796731622
2022-09-02,QUALITY_DIP,1135355.3023236196,MILD_BULL,9,378794.6781170767,1146069.8019116323,-0.9348906646123145
2022-09-05,QUALITY_DIP,1139650.051423351,MILD_BULL,9,378794.6781170767,1146069.8019116323,-0.5601535331943285
2022-09-06,QUALITY_DIP,1140163.4100000113,MILD_BULL,10,188744.58887879548,1146069.8019116323,-0.5153605741787431
2022-09-07,QUALITY_DIP,1145320.258037731,MILD_BULL,10,188744.58887879548,1146069.8019116323,-0.06540124106324195
2022-09-08,QUALITY_DIP,1144091.8930474967,MILD_BULL,10,188744.58887879548,1146069.8019116323,-0.17258188470165517
2022-09-09,QUALITY_DIP,1138625.7445031852,BULL,10,188744.58887879548,1146069.8019116323,-0.6495291470057527
