ticker,entry_date,exit_date,pnl,days_held,entry_rs,entry_vol,entry_trend,entry_regime,exit_reason,rs_bucket,vol_bucket,hold_bucket
GODREJPROP,2020-02-24,2020-03-06,-17.01567902511953,11,24.46752754531733,30.06839030231103,100,Mild_Bull,Stop,20-50%,30-35%,<30d
SIEMENS,2019-10-01,2020-03-09,-15.962502296457199,160,20.25649310264532,37.89232025411474,100,Recovery,Stop,20-50%,35-45%,120-365d
COFORGE,2020-01-27,2020-03-11,-16.12978702261592,44,26.44905427515552,34.46135630604362,100,Mild_Bull,Stop,20-50%,30-35%,30-60d
DIVISLAB,2019-07-30,2020-03-12,17.432743584616986,226,2.1951085416615355,30.51407462589107,100,Mild_Bull,Trail,2-5%,30-35%,120-365d
SUNPHARMA,2019-08-08,2020-03-12,-15.656404119809162,217,8.15962856617384,32.472827402903405,75,Mild_Bull,Stop,5-10%,30-35%,120-365d
OBEROIRLTY,2019-08-30,2020-03-12,-20.25705078904157,195,9.063091310020276,47.702900052848044,100,Mild_Bull,Stop,5-10%,45-60%,120-365d
TRENT,2020-02-17,2020-03-12,-20.35877353789397,24,50.52154177256687,36.31289149541271,100,Mild_Bull,Stop,50%+,35-45%,<30d
AUROPHARMA,2020-02-27,2020-03-12,-27.91144835330206,14,19.370845411589016,62.82457247054705,75,Mild_Bull,Stop,10-20%,60%+,<30d
HINDUNILVR,2020-03-26,2020-04-29,1.6789010757704539,34,41.99808974866902,48.15499258807562,100,Strong_Bear,Trail,20-50%,45-60%,30-60d
ITC,2020-04-15,2020-05-08,-16.42460731588051,23,6.739650635231108,63.83377521485254,75,Strong_Bear,Stop,5-10%,60%+,<30d
SUNPHARMA,2020-04-07,2020-05-18,5.594815589475983,41,22.237102752921093,55.60743613033691,90,Strong_Bear,Trail,20-50%,45-60%,30-60d
DIVISLAB,2020-04-07,2020-07-02,6.228679519065633,86,40.012491349946316,46.85337912801311,100,Strong_Bear,Trail,20-50%,45-60%,60-120d
LUPIN,2020-04-07,2020-07-27,20.76278808866413,111,18.54121154477975,47.64811595536979,75,Strong_Bear,Trail,10-20%,45-60%,60-120d
CIPLA,2020-03-30,2020-08-31,65.26926614879564,154,23.17803223977869,42.69650893383889,75,Strong_Bear,Trail,20-50%,35-45%,120-365d
AUROPHARMA,2020-04-13,2020-08-31,60.985867054925194,140,36.86118478016555,103.20022569676827,75,Strong_Bear,Trail,20-50%,,120-365d
JINDALSTEL,2020-07-27,2020-08-31,15.908455697548613,35,92.241350792738,60.38721537907723,100,Recovery,Trail,50%+,60%+,30-60d
NTPC,2020-04-20,2020-09-04,-1.2979011266745322,137,5.3233639069852785,48.24710341918899,75,Strong_Bear,Stop,5-10%,45-60%,120-365d
SUNPHARMA,2020-05-18,2020-09-14,12.717117227346645,119,33.18036801044006,58.84686492974477,90,Strong_Bear,Trail,20-50%,45-60%,60-120d
JINDALSTEL,2020-08-31,2020-09-22,-17.162364179947694,22,36.108830357481025,41.72095853118052,100,Strong_Bull,Stop,20-50%,35-45%,<30d
M&M,2020-07-02,2020-09-24,9.036638183307971,84,65.62031413262824,63.79821173246831,90,Recovery,Trail,50%+,60%+,60-120d
COFORGE,2020-09-14,2020-10-15,16.426886597639516,31,43.910073806774435,42.97915014541479,100,Strong_Bull,Trail,20-50%,35-45%,30-60d
PERSISTENT,2020-08-31,2020-10-20,26.000512716364643,50,54.55472581461768,44.56551243879601,100,Strong_Bull,Trail,50%+,35-45%,30-60d
RELIANCE,2020-05-08,2020-10-26,31.68580541289461,171,33.70537596340879,77.48137928248673,90,Strong_Bear,Trail,20-50%,60%+,120-365d
COFORGE,2020-10-15,2020-11-02,-15.57610823837026,18,42.26793163540835,49.59939752841997,100,Strong_Bull,Stop,20-50%,45-60%,<30d
DRREDDY,2020-03-31,2020-11-10,51.51057507670205,224,37.807376065895625,41.500144350999726,100,Strong_Bear,Trail,20-50%,35-45%,120-365d
PRESTIGE,2020-08-31,2020-12-22,3.0859118419580644,113,37.66005823303943,64.07815823635747,75,Strong_Bull,Trail,20-50%,60%+,60-120d
LTIM,2020-10-26,2021-01-22,31.67515215495519,88,19.900799612413696,45.679063795125714,100,Strong_Bull,Trail,10-20%,45-60%,60-120d
TATASTEEL,2020-12-22,2021-01-22,7.591244146113249,31,45.706165260305724,37.26583810190513,100,Strong_Bull,Trail,20-50%,35-45%,30-60d
HCLTECH,2020-09-22,2021-01-25,16.406407076658912,125,39.41669848743914,34.99005998551056,100,Mild_Bull,Trail,20-50%,30-35%,120-365d
PERSISTENT,2020-10-20,2021-01-28,24.17176721017269,100,59.095896855287734,52.41612739544965,100,Strong_Bull,Trail,50%+,45-60%,60-120d
TECHM,2020-11-02,2021-01-29,18.013869408616266,88,25.365894917947237,31.674430672403442,100,Strong_Bull,Trail,20-50%,30-35%,60-120d
