ticker,period,return,sector,beta,corr,volatility,rs_score,adx,dd,vol_trend,price,ma200
HINDALCO.NS,2025_CHOP,58.07805899669718,Aluminium,1.2552369042384575,0.5058789841510041,30.205458187403956,-14.176860638318676,47.22366993272648,-22.139057525920165,1.0320967781687136,588.6332397460938,652.1400808715821
VEDL.NS,2025_CHOP,56.55672375091402,Diversified Metals,1.1111500024955656,0.48126515285386867,28.105715221035226,-4.35406692560642,46.674247729789826,-13.298924250609579,0.8559270490883378,421.9876403808594,392.85231140136716
LAURUSLABS.NS,2025_CHOP,55.28963853257388,Pharmaceuticals,1.5151699956926576,0.5916099008778885,31.17685439373431,39.2542890085252,28.386456300567207,0.0,0.9641230471005564,614.3037109375,464.8853720092773
BANKINDIA.NS,2025_CHOP,53.13004463717974,Public Sector Bank,1.5737356611722777,0.6119220780081672,31.307041577426247,0.5223897277087969,41.887401400306025,-32.55555731035725,0.7379848619849196,99.0465316772461,115.15124702453613
TVSMOTOR.NS,2025_CHOP,52.11993285745166,2/3 Wheelers,1.3747311708473304,0.6302671927186296,26.55213486185368,-7.2580612776746545,30.5684942608402,-18.412041412301466,1.1949237895529239,2396.66162109375,2418.485479736328
CANBK.NS,2025_CHOP,51.14360807639547,Public Sector Bank,1.7395397646732704,0.6425933290086345,32.95372512318752,-1.1879579702841618,43.51415251016009,-19.607780218085953,0.7370554690027846,96.9078369140625,105.98748176574708
BEL.NS,2025_CHOP,50.580562437423495,Aerospace & Defense,1.7268862888387058,0.6786241367140842,30.9771034215388,11.466320510609721,47.756276487679585,-12.162122162021044,0.6916037333558134,291.6047058105469,277.11926261901857
BSE.NS,2025_CHOP,49.84081598303265,Exchange and Data Platform,1.7498231802828859,0.3626677694575876,58.73426938590113,48.572207702282036,44.272826761820745,-6.310166486116726,0.43061173543861764,1802.9801025390625,1112.2607327270507
MFSL.NS,2025_CHOP,48.89119793979024,Life Insurance,0.3884114703588267,0.15574861814066682,30.358073720380098,0.9455448806965763,20.403334951817936,-14.384997125025285,0.21909633381444404,1102.550048828125,1078.4825012207032
MANAPPURAM.NS,2025_CHOP,47.43279981075379,Non Banking Financial Company (NBFC),0.7868310170954969,0.20148942647525964,47.53741671255693,5.6017887195468905,53.73959901368761,-15.158761233609678,1.2604848994456597,189.18858337402344,182.7180623626709
ANANDRATHI.NS,2025_CHOP,46.65585788779492,Financial Products Distributor,0.7157753598074678,0.26467351314874454,32.92097041900902,9.577348496641964,41.916664142174874,-12.88561263796731,0.4820814673017192,1957.7125244140625,1949.5375280761718
EICHERMOT.NS,2025_CHOP,44.844291645367235,2/3 Wheelers,1.131068678601035,0.5550272271910419,24.807388870013884,6.205586884404632,29.959754127370918,-3.5021590572250307,0.6392503667686091,4822.76513671875,4605.7442578125
